name,y,text,tooltip,type,date,plotTextPosition
event1000,10,"Verbot von Veranstaltungen mit > 1000 Personen","Verbot von Veranstaltungen mit > 1000 Personen <br> SR 818.101.24 COVID-19 Verordnung 1, 28.2.2020",start,2020-02-28,"top right"
event1000,10,"","Ende des Verbots von Veranstaltungen mit > 1000 Personen",end,9999-01-01,"top right"
partialBorderClosure,9,"Teilweise Schliessung der Grenzen","Teilweise Schliessung der Grenzen <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020",start,2020-03-13,"top right"
partialBorderClosure,9,"","end of Teilweise Schliessung der Grenzen",end,9999-01-01,"top right"
event100,8,"Verbot von Veranstaltungen mit > 100 Personen","Verbot von Veranstaltungen mit > 100 Personen <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020",start,2020-03-13,"top right"
event100,8,"","Ende des Verbots von Veranstaltungen mit > 100 Personen",end,9999-01-01,"top right"
schoolClosure,7,"Schulschliessung","Schulschliessung <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020",start,2020-03-16,"top right"
schoolClosure,7,"","ende der Schulschliessung <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020",end,2020-05-11,"top right"
closureAll,6,"Schliessung aller Läden und Märkte","Schliessung aller Läden und Märkte <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020, Stand am 17.03.2020",start,2020-03-17,"top right"
closureAll,6,"","Ende der Schliessung aller Läden und Märkten",end,2020-05-11,"top right"
closureZoo,5,"Schliessung von Museen, Zoos, etc.","Schliessung von Museen, Zoos, etc. <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020, Stand am 17.03.2020",start,2020-03-17,"top right"
closureZoo,5,"","Ende der Schliessung von Museen, Zoos, etc..",end,9999-01-01,"top right"
closureHair,4,"Schliessung von Coiffeuren sowie Bau- und Gartenfachmärkten","Schliessung von Coiffeuren sowie Bau- und Gartenfachmärkte <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020, Stand am 17.03.2020",start,2020-03-17,"top right"
closureHair,4,"","Ende der Schliessung von Coiffeuren sowie Bau- und Gartenfachmärkte <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020, Stand am 16.4.2020",end,2020-04-27,"top right"
closureBars,3,"Schliessung von Restaurationsbetrieben","Schliessung von Restaurationsbetrieben <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020, Stand am 17.3.2020",start,2020-03-17,"top right"
closureBars,3,"","Ende der Schliessung von Restaurationsbetrieben <br>",end,2020-05-11,"top right"
gathering5,2,"Verbot von Menschenansammlungen > 5 Personen","Verbot von Menschenansammlungen > 5 Personen <br> SR 818.101.24 COVID-19 Verordnung 2, 13.3.2020, Stand am 20.3.2020",start,2020-03-21,"top right"
gathering5,2,"","Ende des Verbots von Menschenansammlungen > 5 Personen <br>",end,9999-01-01,"top right"
handwashing,1,"Zusätzliche Hygieneregeln","BAG kommuniziert zusätzliche Hygieneregeln",start,2020-03-02,"top right"
handwashing,1,"",,end,9999-01-01,"top right"
testing1,0,"Testen von allen symptomatischen Patienten","Testen von allen symptomatischen Patienten",start,2020-02-01,"top left"
testing1,0,"Testen von allen symptomatischen Patienten","kein Testen von allen symptomatischen Patienten",end,2020-03-06,"top right"
testing2,0,"","Testen von allen symptomatischen Patienten",start,2020-04-23,"top middle"
testing2,0,"","kein Testen von allen symptomatischen Patienten",end,9999-01-01,"top right"
