name,y,text,tooltip,type,date,plotTextPosition
event1000,10,Interdiction des évènements de plus de 1000 personnes,"Interdiction des évènements de plus de 1000 personnes <br> SR 818.101.24 Ordonnance 1 COVID-19, 28.2.2020",start,2020-02-28,"top right"
event1000,10,,Fin de l’interdiction des évènements de plus de 1000 personnes,end,9999-01-01,"top right"
partialBorderClosure,9,Fermeture partielle des frontières,"Fermeture partielle des frontières <br> SR 818.101.24 Ordonance 2 COVID-19, 13.3.2020",start,2020-03-13,"top right"
partialBorderClosure,9,,Réouverture des frontières,end,9999-01-01,"top right"
event100,8,Interdiction des évènements de plus de 100 personnes,"Interdiction des évènements de plus de 100 personnes <br> SR 818.101.24 Ordonnance 2 COVID-19, 13.3.2020",start,2020-03-13,"top right"
event100,8,,Fin de l’interdiction des évènements de plus de 100 personnes,end,9999-01-01,"top right"
schoolClosure,7,Fermeture des écoles,"Fermeture des écoles <br> SR 818.101.24 Ordonnance 2 COVID-19, 13.3.2020",start,2020-03-16,"top right"
schoolClosure,7,,"Réouverture des écoles <br> SR 818.101.24 COVID-19-Verordnung 3, 13.3.2020",end,2020-05-11,"top right"
closureAll,6,Fermeture des magasins et des marchés,"Fermeture des magasins et des marchés <br> SR 818.101.24 Ordonnance 2 COVID-19, 13.3.2020, Version du 17.03.2020",start,2020-03-17,"top right"
closureAll,6,,Réouverture de tous les magasins et marchés,end,2020-05-11,"top right"
closureZoo,5,"Fermeture des musées, des zoos…","Fermeture des musées, des zoos… <br> SR 818.101.24 Ordonnance 2 COVID-19, 13.3.2020, Version du 17.03.2020",start,2020-03-17,"top right"
closureZoo,5,,"Réouverture des musées, des zoos…",end,9999-01-01,"top right"
closureHair,4,"Fermeture des coiffeurs, des jardineries et des magasins de bricolage","Fermeture des coiffeurs, des jardineries et des magasins de bricolage <br> SR 818.101.24 Ordonnance 2 COVID-19, 13.3.2020, Version du 17.03.2020",start,2020-03-17,"top right"
closureHair,4,,"Réouverture des coiffeurs, des jardineries et des magasins de bricolage <br> SR 818.101.24 Ordonnance 2 COVID-19, 13.3.2020, Version du 16.4.2020",end,2020-04-27,"top right"
closureBars,3,Fermeture des restaurants et des bars,"Fermeture des restaurants et bars <br> SR 818.101.24 Ordonnance 2 COVID-19, 13.3.2020, Version du 17.3.2020",start,2020-03-17,"top right"
closureBars,3,,Réouverture des restaurants et bars <br>,end,2020-05-11,"top right"
gathering5,2,Interdiction des regroupements de plus de 5 personnes,"Interdiction des groupes de plus de 5 personnes <br> SR 818.101.24 Ordonnance 2 COVID-19, 13.3.2020, Version du 20.3.2020",start,2020-03-21,"top right"
gathering5,2,,Fin de l’interdiction des groupes de plus de 5 personnes <br>,end,9999-01-01,"top right"
handwashing,1,Nouvelles règles d’hygiènes.,Communication de nouvelles règles d’hygiène par l’OFSP,start,2020-03-02,"top right"
handwashing,1,,,end,9999-01-01,"top right"
testing1,0,Test de tous les patients symptomatiques,Test de tous les patients symptomatiques,start,2020-02-01,"top left"
testing1,0,Test de tous les patients symptomatiques,Arrêt du test de tous les patients symptomatiques,end,2020-03-06,"top right"
testing2,0,,Test de tous les patients symptomatiques,start,2020-04-23,"top middle"
testing2,0,,Arrêt du test de tous les patients symptomatiques,end,9999-01-01,"top right"
